Path,Type,Size
/home/valery/PycharmProjects/basic-python/.git/objects/48/4c652a48e0c97826acabfc475d1bab7ea4763a,File,9323
/home/valery/PycharmProjects/basic-python/.git/objects/48/abfde5b5285cb19c50757796dfd162e59c0d91,File,12438
/home/valery/PycharmProjects/basic-python/.git/objects/48/ec1bfa077d706a1d732ea17593f4d9cd00f593,File,1927
/home/valery/PycharmProjects/basic-python/.git/objects/48/1eea9fd4b5a5ca67e75bc9d3b3effe6ce29194,File,320
/home/valery/PycharmProjects/basic-python/.git/objects/4f/df5e72baf9164f18cd9a0bd7ba43ca7d84e412,File,1822
/home/valery/PycharmProjects/basic-python/.git/objects/4f/021ae1af69d7c18e0062e557999032d3bb52f1,File,178
/home/valery/PycharmProjects/basic-python/.git/objects/4f/6d8b2d79406012c5f8bae9c289ed5bf4d179cc,File,244
/home/valery/PycharmProjects/basic-python/.git/objects/4f/3003711020eac05ef5a19ab29ba5670d89f642,File,3644
/home/valery/PycharmProjects/basic-python/.git/objects/59/48570178f3e6e79d1ff574241d09d4d8ed78de,File,365
/home/valery/PycharmProjects/basic-python/.git/objects/59/ba9b32472c41bef0476d1073ab1b5397596d16,File,2854
/home/valery/PycharmProjects/basic-python/.git/objects/59/bfe091ee71d0d3e3caa9010c86b063760442a1,File,158
/home/valery/PycharmProjects/basic-python/.git/objects/59/72a96d8ded85cc14147ffc1400ec67c3b5a578,File,331
/home/valery/PycharmProjects/basic-python/.git/objects/59/103025e39653f466e24bfb066d1ce022ad361b,File,165
/home/valery/PycharmProjects/basic-python/.git/objects/59/f207e82e0daafb562aa277f96c981572912184,File,577
/home/valery/PycharmProjects/basic-python/.git/objects/20/044e4bc8f5a9775d82be0ecf387ce752732507,File,5731
/home/valery/PycharmProjects/basic-python/.git/objects/20/ce8f7d15bad9d48a3e0363de2286093a4a28cc,File,1435
/home/valery/PycharmProjects/basic-python/.git/objects/d7/4d465e035b94b669fcfbdf6530230ada6d0b66,File,265
/home/valery/PycharmProjects/basic-python/.git/objects/d7/4f5e4e92f3edeb5a2868ac049973eef7b245cb,File,1427
/home/valery/PycharmProjects/basic-python/.git/objects/d7/e73802818c336c4316ee1fc596efa54763bb4b,File,5155
/home/valery/PycharmProjects/basic-python/.git/objects/d7/728069825329332efa89e4fdac44d06f919f7f,File,180
/home/valery/PycharmProjects/basic-python/.git/objects/d7/c4926afce32cad6a36379f6e159e7fe6215c75,File,1915
/home/valery/PycharmProjects/basic-python/.git/objects/d7/10cb96a4e17eb0c4c9a8fef86ba3449d1256d6,File,19507
/home/valery/PycharmProjects/basic-python/.git/objects/6b/7469c4fc5e715ee3dd528810f6ed34848ebd9f,File,1887
/home/valery/PycharmProjects/basic-python/.git/objects/6b/2c93f0e6d5df4ea90bc983050f8c993e7addc2,File,158
/home/valery/PycharmProjects/basic-python/.git/objects/6b/20df315b23ecd1e3d0ec32c11c0b5ced577efe,File,2703
/home/valery/PycharmProjects/basic-python/.git/objects/6b/a2e04f350792e2c0021cf7ba7f40b25dc6cd51,File,878
/home/valery/PycharmProjects/basic-python/.git/objects/6b/71975f08587ca8861acc2380f17701b7c7c656,File,459
/home/valery/PycharmProjects/basic-python/.git/objects/6b/13a459dae67bb8a20aba265637da68cc576ee6,File,252
/home/valery/PycharmProjects/basic-python/.git/objects/7e/d7e9297e01b87c4e999d19d48a4265b38b574f,File,2401
/home/valery/PycharmProjects/basic-python/.git/objects/7e/f59590c76ee75733d78b061d4108d49f209ee5,File,388
/home/valery/PycharmProjects/basic-python/.git/objects/7e/a7bee283fbf2241fbef614d184f79d3ec2eabf,File,8891
/home/valery/PycharmProjects/basic-python/.git/objects/7e/6267ef80c3e92222775ca0752dae5b13f6177c,File,877
/home/valery/PycharmProjects/basic-python/.git/objects/7e/bead5dcde902718372fb8aa618afd1d973956b,File,99200
/home/valery/PycharmProjects/basic-python/.git/objects/7e/f9bcefdec05490393466f032548f24d41ea0b8,File,5507
/home/valery/PycharmProjects/basic-python/.git/objects/52/c6b5558cfe9e83dd6cea1fcfba8697feacff55,File,548
/home/valery/PycharmProjects/basic-python/.git/objects/52/1abd7c2ca633f90a5ba13a8060c5c3d0c32205,File,5921
/home/valery/PycharmProjects/basic-python/.git/objects/52/996cf824aa9df8828fa83872cc0613a015ed9b,File,435
/home/valery/PycharmProjects/basic-python/.git/objects/52/1eb716a5ebbcbc2c59654c4e71c3f0ff1abf26,File,451
/home/valery/PycharmProjects/basic-python/.git/objects/ea/04e8b44330fe22909a2c875c6601e33bd1ffc2,File,18364
